Nome,Telefone,Email,Empresa,Cidade,Cargo,Origem,Tags,Estado,Instagram,Site,Avaliacoes GMB,Nota GMB,Observacoes
Odonto e Cia,(27) 3256-3007,,Odonto e Cia,Aracruz,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo C",ES,@odontoeciaaracruz,https://www.odontoeciaaracruz.com.br/,164,5,"Desde 2003, link bio pode melhorar"
Cia do Dente Odontologia,(28) 3321-8177,,Cia do Dente Odontologia,Cachoeiro de Itapemirim,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo B",ES,@ciadodente,https://www.clinicaciadodente.com.br/,1079,"4,9","1.000+ avaliações, implantes e estética"
Odonto Premium,(27) 99600-9419,,Odonto Premium,Cariacica,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo A",ES,@odontopremiumcg,,554,"4,8","550+ avaliações, sem site, especializada em implantes"
Centro Odontológico Campo Grande,(27) 99891-8713,,Centro Odontológico Campo Grande,Cariacica,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo A",ES,@centroodontologicocg,,187,"4,9","Link vai para Facebook, sem site"
Centro Odontológico Cariacica,(27) 99581-9584,,Centro Odontológico Cariacica,Cariacica,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo A",ES,@centroodontologicocariacica,,134,"4,8","Link bio apenas Instagram, sem site"
SorrisoNovo,(27) 3120-4242,,SorrisoNovo,Colatina,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo A",ES,@sorrisonovocolatina,,127,"4,9",Sem site
Spazio Vita Odontologia,(27) 99846-8647,,Spazio Vita Odontologia,Linhares,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo B",ES,@spaziovitaodontologia,https://spaziovitaodontologia.com.br/,1015,5,"1.000+ avaliações, nota máxima!"
Cops Odontologia,(27) 3371-3398,,Cops Odontologia,Linhares,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo C",ES,@copsodontologia,https://copsodontologia.com.br/,323,5,Link bio usa Linktree
Central Odonto Capixaba,(27) 3066-8121,,Central Odonto Capixaba,Serra,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo C",ES,@centralodontocapixaba,https://centralodontocapixaba.com/,2077,"4,8",2.000+ avaliações! Atende adultos e crianças
Ortodente Clínica Odontológica,(27) 3079-2300,,Ortodente Clínica Odontológica,Serra,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo B",ES,@ortodenteclinica,https://ortodenteclinica.com.br/,772,5,"Desde 2014, 770+ avaliações, nota máxima"
Clínica Odontoriso,(27) 99784-8711,,Clínica Odontoriso,Serra,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo A",ES,@odontoriso,,382,"4,9","380+ avaliações, sem site"
Clínica Odonto Saúde,(27) 99910-1574,,Clínica Odonto Saúde,Vila Velha,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo A",ES,@odontosaudevv,,444,5,"Nota máxima, 440+ avaliações, sem site"
Vamos Sorrir,(27) 99962-1992,,Vamos Sorrir,Vitória,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo B",ES,@vamossorrires,https://vamossorrires.com.br/,610,"4,8","610 reviews, atendimento humanizado"
Clínica Odontológica CESOL,(27) 99917-1616,,Clínica Odontológica CESOL,Vitória,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo C",ES,@cesolclinica,https://cesolclinica.com.br/,178,"4,8","Site antigo, precisa modernização"
Sorriso Vitória Odontologia,(27) 99921-8984,,Sorriso Vitória Odontologia,Vitória,,Prospecção Odontológica,"Clínica Odontológica;UF ES;Grupo A",ES,@sorrisovitoria,,136,"4,9","Sem site, especialista em endodontia"
Dr. Luís Morato Odontologia,(37) 3222-3777,,Dr. Luís Morato Odontologia,Divinópolis,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@drluismorato,https://www.luismorato.com.br/,40,"4,7","26+ anos, 3 especializações UFMG, YouTube 11.4k"
Dra. Pâmella Fonseca,(37) 3217-6700,,Dra. Pâmella Fonseca,Divinópolis,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@drapamellafonseca,https://drapamellafonseca.com.br/,35,"4,8",Especializada em odontologia estética
Renovi Odontologia,(37) 99927-0086,,Renovi Odontologia,Divinópolis,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@renoviodontologia,https://www.renoviodontologia.take.med.br/,25,"4,9","25+ anos, lentes de contato, Invisalign"
Ouro Odontologia,,,Ouro Odontologia,Nova Lima,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@dralucianabreder,https://www.ouroodontologia.com/,50,5,"20+ anos, especialista odontopediatria"
Odontto Vila da Serra,(31) 99950-2454,,Odontto Vila da Serra,Nova Lima,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@odonttoviladaserra,https://odonttoviladaserra.com/,30,"4,9","Tecnologia CAD/CAM, impressora 3D"
Clínica Magna Odontologia,(35) 3721-7774,,Clínica Magna Odontologia,Poços de Caldas,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo C",MG,@clinicamagna,https://clinicamagnaodontologia.com/,576,"4,8","576 avaliações, Instagram principal canal"
